"Year","spring_percip","Mean_april_temp"
1971,66.7,2.3
1972,123.9,2.2
1973,138.2,3.1
1974,72.4,3.4
1975,119.1,3.7
1976,106,2.3
1977,160.6,1.6
1978,99.1,2.2
1979,87.2,1.7
1980,118,4.6
1981,106.6,2.1
1982,121.7,3.2
1983,104.8,5.1
1984,89.8,4.5
1985,156,1.3
1986,107.8,3.1
1987,70.1,2.4
1988,74.8,1.9
1989,136.5,5.1
1990,92,6.3
1991,95.2,3.7
1992,122.7,2.4
1993,57.4,3.7
1994,181.7,4.6
1995,135,3.7
1996,127.9,2.7
1997,60,2.4
1998,85.9,2.7
1999,81.5,5.4
2000,104.7,5.8
2001,128.4,5
2002,61.6,5.3
2003,108.2,2.4
2004,86.7,4.9
2005,83.9,4.5
2006,123.2,3.6
2007,140.2,5.5
2008,109.3,6.1
2009,85.1,4.5
2010,154.7,4.6
2011,70.8,5.6
2012,156.6,4.1
2013,81.2,3.1
2014,103.2,5.9
2015,141.4,5.3
2016,93.8,4.8
2017,84.3,2.8
2018,74.5,5
