"Variable","Achnanthes pusilla","Actinastrum hantzschii","Actinocyclus octonarius var. octonarius","Amylax triacantha","Anabaena inaequalis","Anabaenopsis elenkinii","Ankistrodesmus arcuatus","Apedinella radians","Aphanizomenon flosaquae","Aphanocapsa reinboldii","Apocalathium malmogiense","Binuclearia lauterbornii","Borghiella pascheri","Chaetoceros ceratosporus","Chaetoceros danicus","Chaetoceros holsaticus","Chaetoceros wighamii","Chlorella chlorelloides","Coscinodiscus granii","Cyclotella glomerata f. glomerata","Cyclotella meneghiniana","Desmodesmus abundans","Desmodesmus bicellularis","Desmodesmus intermedius","Desmodesmus opoliensis","Diatoma tenuis","Dinobryon faculiferum","Dinophysis acuminata","Dinophysis norvegica","Dolichospermum lemmermannii","Ebria tripartita","Fragilariopsis cylindrus","Heterocapsa rotundata","Katablepharis ovalis","Koliella spiculiformis","Kryptoperidinium triquetrum","Licmophora gracilis","Merismopedia glauca","Merismopedia tranquilla","Merismopedia warmingiana","Mesodinium rubrum","Micractinium pusillum","Monoraphidium contortum","Monoraphidium komarkovae","Monoraphidium minutum","Monoraphidium mirabile","Mucidosphaerium pulchellum","Nitzschia acicularis","Nitzschia longissima","Nodularia spumigena","Oblea rotunda","Oocystis borgei","Oocystis lacustris","Pauliella taeniata","Peridiniella catenata","Phalacroma rotundatum","Plagioselmis prolonga","Planktolyngbya limnetica","Planktothrix agardhii","Protoceratium reticulatum","Protoperidinium bipes","Protoperidinium brevipes","Protoperidinium granii","Pseudanabaena limnetica","Pseudopedinella thomsenii","Raphidocelis danubiana","Rhizosolenia minima","Rhodomonas lacustris","Rhoicosphenia abbreviata","Scenedesmus quadricauda","Skeletonema marinoi","Skeletonema subsalsum","Snowella lacustris","Snowella septentrionalis","Tabularia fasciculata","Telonema subtile","Tetradesmus lagerheimii","Tetradesmus obliquus","Thalassiosira baltica","Thalassiosira guillardii","Woronichinia compacta"
"poly(Salin, 2, raw = TRUE)",0.0372379236684702,0.0362808238065925,0.0138011895560209,0.0262825013859922,0.0291601048937659,0.0138312664291787,0.0462222076992967,0.0343794265497273,0.0121451565836615,0.0809027091661336,0.0838712777116432,0.0355512317356287,0.0670114317720757,0.0193764303457342,0.0518356058187897,0.0345847289549818,0.0427232167961911,0.0389742387119058,0.0761370066185375,0.0244307445511152,0.0130576353859316,0.0311123691643789,0.0154279939871447,0.00944740959727731,0.0275966434947756,0.010748890421272,0.0694505582665666,0.0617364186462249,0.0434254531677052,0.00912683105564826,0.092513719709236,0.0178355766021011,0.0442705208595929,0.069848533018012,0.0417344686602253,0.0561398767418957,0.0151040525572155,0.0532690213919577,0.0838872067405074,0.0747497912378381,0.0570329534199507,0.0599681857700416,0.0204291412280213,0.0207747363714112,0.0269454435801136,0.0424557183768628,0.0209241536362573,0.0225500050459264,0.0238094030832454,0.0389968274690797,0.038899953336265,0.026884456820434,0.0394910198186028,0.0298364500682162,0.0537948001780343,0.0530767161473221,0.0172752983491099,0.0679837002241572,0.0333295184085014,0.0642713235505579,0.0405708195268499,0.022389277450083,0.0532579626179548,0.0266092486336021,0.0154589651993267,0.026342270761098,0.0194536283532229,0.0171470132567769,0.0538839844622284,0.00729114398788817,0.0400490020720067,0.0174182667367411,0.0768723000246639,0.0319489826033181,0.0168457391229114,0.0777585897415552,0.00608751001778629,0.00473637951238059,0.0453551814362643,0.0475158238884326,0.0205197238409014
"poly(Temp, 2, raw = TRUE)",0.0264500359226226,0.0379496351336362,0.0270221099171248,0.10517556695735,0.203732716933852,0.0299503333886341,0.0281112022841897,0.0244120150169474,0.245527146669253,0.0362451636675993,0.0143915021223958,0.0199496685571356,0.0202930299866667,0.0181919374046932,0.0216043939927856,0.0334987023214753,0.0844829166893453,0.0315879856405733,0.0542920657415668,0.0344610231772909,0.0334094908260564,0.013263527476352,0.0247538767087718,0.0178351935164634,0.00963896902008781,0.0167360524498135,0.0521968452021276,0.0323268042493866,0.0972265291250293,0.0216786256290288,0.063210293615213,0.0247658220900501,0.0665184148082625,0.153232568695023,0.0211842074492723,0.0469734342914637,0.0541005921004578,0.00461747390944366,0.00591076449235762,0.00371018823303946,0.024028751517236,0.0827806518006947,0.0106503244943735,0.0101393177868316,0.0133343270106723,0.0164831555877652,0.00834574478259457,0.0131051275516136,0.0151762912084894,0.254013283913758,0.0261609139224861,0.0216573167333172,0.0626176226244294,0.0416210314944088,0.106219146411251,0.038489735007713,0.100079125782033,0.0166824091813924,0.00934759003125387,0.0341970716909884,0.0775834977429268,0.00935306635344477,0.014100639929796,0.01074969549931,0.0017147978920523,0.0168593375052616,0.121858508135008,0.0172685859480556,0.0280797465612858,0.00687168575501977,0.0506539605878103,0.0175940768911239,0.0195447905146216,0.0290972423675515,0.00721080538923735,0.0387692014649043,0.00201789122149254,0.00200388344513222,0.0859598826295995,0.00272087027972752,0.0102742380875791
"poly(Ptot, 2, raw = TRUE)",0.144481201779756,0.0518055935478486,0.172848618985574,0.238459703143871,0.275350927067917,0.0450487447711748,0.157478185555412,0.426991933032934,0.148116233432534,0.146177762259189,0.464697286970596,0.12803543329958,0.0142814147015325,0.103974362818788,0.114667915284954,0.129816616426235,0.325578394193626,0.162955484210398,0.171062517392727,0.0101300297866153,0.0424689659426194,0.0320104080947702,0.0452710368048733,0.0547479381888522,0.0794057279505036,0.0503559571434428,0.137625767376859,0.375357216830832,0.297330095099631,0.325569914158466,0.175237596199611,0.0476210063149579,0.154487171145658,0.234259966344379,0.126986321165413,0.253835044570542,0.142680686587505,0.0149322746686745,0.106752551623768,0.0615593954122566,0.375680020502592,0.0645323329399495,0.0832908329175465,0.0382788938468603,0.0507025219990697,0.00610268420474568,0.0210612824849897,0.0580739622671946,0.116001351154519,0.220752756387911,0.278336459600036,0.151417062171774,0.137227265168849,0.0767901409102383,0.327565422502416,0.580462668543312,0.491174855580422,0.0526740861742904,0.0351305421834064,0.127621305683482,0.261977711349169,0.275081370204174,0.292969804405043,0.111407703465579,0.0363516285959852,0.0064657113077011,0.148613435344608,0.300022093222426,0.144395046179224,0.0107953249160311,0.00455767820773923,0.0752557755478787,0.0760296021274841,0.104594666870344,0.20479122095301,0.393608589768386,0.00528570652486767,0.00583584416299581,0.271006702975671,0.00349124719233022,0.121648836921814
"poly(jday, 2, raw = TRUE)",0.0245322694504958,0.0318868629862973,0.0270176961094923,0.0069217422296586,0.171362350698611,0.192256553509548,0.0147488689578063,0.0520079688363039,0.0356017071291191,0.137707942875848,0.115228098737334,0.0703995879246321,0.020998110442207,0.235820682845334,0.0826740601017039,0.34529165590034,0.242554776238897,0.0319797057897659,0.403879380749314,0.0270760602578719,0.0505417547086943,0.0115036479076742,0.0487649764978805,0.012038936666669,0.0682748406523072,0.3886770003542,0.101700985912966,0.0209886433293509,0.0333463647675786,0.131705541833922,0.029007277250241,0.0746175821404147,0.0224896462270846,0.0230513662534295,0.0391666041192957,0.0643908899590478,0.0784082458288663,0.0167228706430266,0.029592216634185,0.0237019761778731,0.133156853323155,0.0434873769061503,0.218763094758033,0.0253078565846169,0.0135484126150191,0.0045527870685098,0.0247032807355363,0.146373806810266,0.146885754667304,0.0357470872706162,0.176800510673625,0.0210522295819473,0.0131960990426529,0.198574923330244,0.205140921390902,0.0361999332603471,0.121339514216793,0.0508609459570864,0.0216828465240853,0.0929731352926708,0.254090717548471,0.182909559661144,0.0929287225523234,0.108247388590085,0.057461398736458,0.00502817792021951,0.171014451914852,0.249337296924459,0.0538185385408007,0.0473321571098887,0.383946581798706,0.248965148288422,0.0287744575449454,0.0504065314864331,0.0670040526324816,0.0981001943669989,0.0472130505300909,0.0112603995902032,0.030931349214503,0.00593777208929998,0.0271600419377794
"poly(Mean_april_temp, 2, raw = TRUE)",0.130097638761971,0.0190790610002,0.0133004680838481,0.0107601175698009,0.0747776733296626,0.0535102445448238,0.0167341772836248,0.0145497232556583,0.0100891476341861,0.0439101804276731,0.0470291270471087,0.0524531671123242,0.0219437952213218,0.0288263811711846,0.0212041720383653,0.0478623298000342,0.0339393852794225,0.0172593054261572,0.0173925934305361,0.0284729245875117,0.0234383566165975,0.0131947356423625,0.0128940981743622,0.0112489922560929,0.0132825246816126,0.0310035906932289,0.0521231497390445,0.0176860197638233,0.021754343980413,0.00792378396133421,0.0295649128813778,0.0322497570785954,0.0669567670397179,0.06008532647558,0.0594470696487023,0.0224875011415741,0.012540528185743,0.0140831639837408,0.0428479444022061,0.0133101067582318,0.0579256976037621,0.0331164436857386,0.00762043350840137,0.0218886215153722,0.00899584322038883,0.019724785822695,0.0168277181880563,0.0378696600749734,0.0145129252301331,0.0221853800614895,0.0101028579587129,0.0184250349079979,0.0437515945549807,0.0776114935996253,0.0488937877919216,0.0259256940374091,0.0255582408480947,0.0114404604111653,0.0107270336832643,0.0119855428726191,0.0380587862743303,0.0328167370067436,0.0304719525139286,0.0252237970990375,0.00865558020689428,0.0544254486078167,0.026714100419424,0.0272662452761574,0.0264556674816108,0.0074858785076143,0.0139529844757,0.0113341697982621,0.0325733524691528,0.0234151701192889,0.0177007319499921,0.0607600913358945,0.0139904502143272,0.00877659436546369,0.0112846234830995,0.010870388244608,0.0155594907677
"stnDepth",0.0793894996361561,0.120139674960515,0.0166424723926345,0.0288124796991815,0.0176447949761098,0.0697275247542047,0.162476397503785,0.104540627320866,0.10161872893836,0.00994677206384513,0.0147041336619688,0.0219432399172241,0.062896031789597,0.0890724810696282,0.00852705609825999,0.0152353392882858,0.0072020108492444,0.0368019758073743,0.0374714952515994,0.0565684566955623,0.0626268957902375,0.0975205218941146,0.165357417757593,0.101401928062595,0.0564379999465799,0.0124155252723642,0.00757041840222534,0.0450937445387457,0.00625804608501929,0.00467077268923005,0.0334878470782473,0.0858350380773536,0.0440310763625024,0.0583612211540099,0.0232765732721715,0.0191793870430482,0.0128528090897662,0.213991818637792,0.0689997371389256,0.069703944001594,0.131484999917405,0.132740894602636,0.0538998808570457,0.0755719390065829,0.201809589784642,0.145887817450689,0.152568385647266,0.23044706731939,0.0996433646396362,0.0123317789537474,0.00298712240348888,0.00609819038611842,0.0483892211114339,0.0588656770155344,0.0273982983451255,0.0256797776624728,0.0140541541802357,0.0279512897725718,0.00937033322216027,0.0182422117889791,0.0096796090955411,0.00432167054356518,0.00896591949679812,0.0211406173430767,0.0154555970488855,0.168990337797637,0.0339086082660285,0.00997563909862477,0.141114752620734,0.029066306415553,0.0585490939581057,0.0906821346179336,0.0612779933800187,0.106833141789592,0.0486368118708641,0.0156055503248012,0.0243827017841331,0.039697654388632,0.0102440277623549,0.141887245033379,0.00280181773225394
"year",0.214959759238786,0.38384945240826,0.111816319983072,0.0301404762335836,0.0675166482285993,0.156792622971384,0.0531435733604119,0.085560226637083,0.0154177636790421,0.17798259724517,0.0513782665543828,0.0898832357685325,0.42859934616124,0.116873935943875,0.0888105176150021,0.0457110660191462,0.0628122172548005,0.105582998539868,0.0547844142384793,0.163692953003257,0.495547332194022,0.268965253332831,0.190054971256958,0.44792347208934,0.219417104541457,0.289652619932742,0.166577423029082,0.0651172030342842,0.0488265717982857,0.177176264752407,0.0691383499554447,0.375886029595317,0.0444724654030364,0.109601284140355,0.264650554345354,0.0346178424528528,0.105317447698938,0.110714384522747,0.032693005262774,0.0244601450161059,0.0194009728158725,0.170689308186352,0.0305485686144812,0.11184916538444,0.33448771443566,0.517485435954155,0.272031925249505,0.0156365961037217,0.0159543634670284,0.0447184117186718,0.147744539343245,0.113674442238673,0.0531502392243405,0.281222694071481,0.123037587034268,0.0203974490830428,0.117481256808244,0.0456104795707741,0.506999007911539,0.464130877066038,0.096743145411134,0.0363057971544228,0.089564908070856,0.0167435990154413,0.060567563850642,0.242049301452596,0.086618903563727,0.233805081052116,0.0520105355826331,0.640377862046227,0.181046321919514,0.182059193451431,0.24017508214213,0.130350531994938,0.160602179134357,0.136621256370627,0.670255054212709,0.670877865040394,0.228687311668164,0.381579818034292,0.633669957591905
"Random: year",0.139775735796877,0.0593171993904977,0.602702903331659,0.542833048653274,0.142500097632154,0.214292609186337,0.144547122476597,0.134033250099395,0.388088034387178,0.0601665564440807,0.126818371884319,0.141826370482637,0.294313068986045,0.184313455745074,0.570611387936217,0.227661131293308,0.154308868098875,0.243057493987653,0.148611601269298,0.370670905883219,0.0347761099116239,0.0796815111491926,0.29858088065472,0.162534329860888,0.285156323606239,0.0327368352179371,0.375170511141886,0.292544755417923,0.344364080745654,0.307764188037288,0.342079680885514,0.0999180021315192,0.509966506316694,0.175651468389951,0.112359137706826,0.460416719029906,0.551517534752231,0.369046328651521,0.244759321033727,0.357974283169815,0.0531151740600493,0.23296076603967,0.26800485157218,0.241102678434451,0.104168055083598,0.0311150704819383,0.199870911651345,0.275159640998838,0.357924187839268,0.354876834965755,0.286083353870875,0.465743290426912,0.366380854233024,0.202394180800873,0.0893639179175518,0.183920123587082,0.0778718696906813,0.291152005100574,0.173291168323973,0.171179391887941,0.173745082675135,0.4246790801239,0.406996194166999,0.412780127335716,0.742559415130537,0.16085970313799,0.183283767263797,0.138229668700158,0.398956435686361,0.0850984779265644,0.0753908027180063,0.0730240033964168,0.0674042896193143,0.461415376742284,0.357732234027407,0.0871885212810622,0.0557891055444901,0.131577188936185,0.280752557127897,0.109722294052978,0.10579896850285
"Random: stn",0.203075935744864,0.259691696766152,0.0148482216405736,0.0106143641272887,0.0179546862393289,0.224590100444714,0.376538264878877,0.123524829251085,0.0433960815466661,0.30696031585046,0.0818819353102526,0.439958065202306,0.0696637709393133,0.203550332655686,0.0400648911139219,0.120338429996193,0.0463982145995968,0.331800811886306,0.0363689253079411,0.284496902057557,0.244133458624217,0.452748025338323,0.198894748157697,0.182821799761822,0.240789866106439,0.167673528515001,0.0375843409292422,0.0891491941894269,0.107468515230684,0.0143840778826741,0.165760322425116,0.241271185969692,0.0468074318374504,0.115908265529261,0.311195063632741,0.0419593047696711,0.027478103199277,0.202622663591097,0.38455725267155,0.370830169993246,0.148174576839978,0.179724040068766,0.306792872049917,0.455086791069434,0.246008092270837,0.216192545052641,0.283666597624449,0.200784133828077,0.210092358710376,0.0163776392589711,0.0328842888912651,0.175047976732827,0.235796084221688,0.0330834087093794,0.0185861184285316,0.0358479026712991,0.0351656845443865,0.435644623607988,0.200121959711817,0.0153991401667254,0.047550630376442,0.0121434415025219,0.0107438962463032,0.267097823018153,0.0617750533392202,0.31897971150968,0.208534596739333,0.00694837652122615,0.101285292885123,0.165681163335215,0.191853574262412,0.283667231271791,0.39734813217767,0.0619383560262514,0.119476224919739,0.091588005345771,0.174978529950103,0.125234190558611,0.0357783637024483,0.296274541184953,0.0625669246172175
"R2",0.639168444417683,0.520582184216352,0.28181709364166,0.360051502778849,0.321786892073677,0.753066056083697,0.750301342252819,0.476750372678511,0.322637739938313,0.551957560884842,0.380951938705858,0.760018234499019,0.36393281081964,0.495717021532021,0.269085686704824,0.446972928414397,0.412805410453986,0.620035871247892,0.361275731068664,0.624067419431783,0.749131483416608,0.770030742310882,0.768482731311211,0.63699415753106,0.748927299299269,0.470081239445481,0.430055771554474,0.359046761789222,0.292720977323114,0.606569822552917,0.355487763314648,0.747727622245213,0.497129305272551,0.736451673731608,0.678546700082039,0.578814477896169,0.411885239524293,0.745112347148063,0.536249920256836,0.6828057135608,0.616517725863447,0.772811350869505,0.631803022011719,0.717931990048776,0.705406045778097,0.702105134848803,0.689238589277306,0.759305839684548,0.52732812527609,0.342381407083583,0.478695665389309,0.633392127424791,0.628965205607633,0.44673104801226,0.572697556743549,0.220477282199231,0.647924494049889,0.652192725929235,0.75859831408585,0.270591341641441,0.528130253981508,0.418848889420759,0.498086806904585,0.68695129969447,0.511202580418707,0.708180847993921,0.570072803040149,0.445838950973708,0.486920669991714,0.706659296587327,0.493433263282454,0.559607970896229,0.580064647411022,0.733640426996932,0.739608405378487,0.452389848852464,0.758219804475604,0.749648342164342,0.396434612873386,0.658795208787368,0.611864515613049
